code	category
00024655	alcoholic-beverages
00024655	lagers
00024655	beers
00024679	beverages
00024679	alcoholic-beverages
00024679	beers
00025157	pizzas-pies-and-quiches
00025157	meals
00025157	frozen-foods
00025157	frozen-ready-made-meals
00025157	frozen-pizzas-and-pies
00025157	frozen-pizzas
00025157	pizzas
00025751	meats
00025751	hams
00025751	prepared-meats
00025942	shortbread
00025942	sugary-snacks
00025942	biscuits
00025942	shortbread-cookies
00025942	biscuits-and-cakes
00027083	sugary-snacks
00027083	cakes
00027083	blueberry-muffins
00027083	muffins
00027083	biscuits-and-cakes
00027137	cakes
00027137	sugary-snacks
00027137	biscuits-and-cakes
00027137	chocolate-cakes
00028097	milk-chocolate-biscuits
00028097	sugary-snacks
00028097	biscuits
00028097	shortbread-cookies
00028097	chocolate-biscuits
00028097	biscuits-and-cakes
00028202	appetizers
00028202	potato-crisps
00028202	plant-based-foods-and-beverages
00028202	cereals-and-potatoes
00028202	cheddar-and-onion-crisps
00028202	salty-snacks
00028202	flavoured-potato-crisps
00028202	plant-based-foods
00028202	cheese-and-onion-crisps
00028202	crisps
00028202	chips-and-fries
00028264	products-without-gluten
00028264	plant-based-foods-and-beverages
00028264	cereals-and-potatoes
00028264	toasts
00028264	breads
00028264	plant-based-foods
00028264	crispbreads
00028264	zwieback
00028271	shortbread
00028271	sugary-snacks
00028271	biscuits
00028271	shortbread-cookies
00028271	biscuits-and-cakes
00028653	sugary-snacks
00028653	milk-chocolates
00028653	chocolates
00029568	candies
00029568	confectioneries
00029568	sugary-snacks
0002983542515	bodybuilding-supplements
0002983542515	protein-powders
0002983542515	dietary-supplements
0003004032145	viennoiseries
0003004032145	brioches
0003004032145	sugary-snacks
00030045	beverages
00030045	refrigerated-foods
00030045	peach-flavored-iced-teas
00030045	iced-teas
00030045	sugared-beverages
00030113	beverages
00030113	plant-based-beverages
00030113	fruit-juices-and-nectars
00030113	plant-based-foods-and-beverages
00030113	juices-and-nectars
00030113	multifruit-juices
00030113	non-alcoholic-beverages
00030113	fruit-juices
00030113	fruit-based-beverages
00030182	spreads
00030182	fruit-jams
00030182	plant-based-spreads
00030182	berry-jams
00030182	plant-based-foods-and-beverages
00030182	sweet-spreads
00030182	jams
00030182	fruit-preserves
00030182	breakfasts
00030182	blackcurrant-jams
00030182	fruits-and-vegetables-based-foods
00030182	plant-based-foods
00030182	fruits-based-foods
00030908	cookies
00030908	biscuits
00030908	biscuits-and-cakes
00030908	sugary-snacks
00031059	special-breads
00031059	english-muffins
00031059	plant-based-foods-and-beverages
00031059	cereals-and-potatoes
00031059	breakfasts
00031059	breads
