code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
00012444	Sundae Mix		3		4																																																																								
00013029	Cheddar		5		4																																																																								
00013628	Chicken pad thaï		0	a		619			0.7									2.9			1.1	8.4				0.75	0.295275590551181																																										-2	-2							
00014816	Reduced Fat Mayonnaise	https://static.openfoodfacts.org/images/products/00014816/front_en.4.400.jpg	0																																																																										
00015349	mostly mesquite honey	https://static.openfoodfacts.org/images/products/00015349/front_en.3.400.jpg	0			1200		0									81	76.2				0				0	0																																																		
00015356	Strawberries, raspberries & blackberries	https://static.openfoodfacts.org/images/products/00015356/front_en.3.400.jpg	0	a		138		0.4	0.1								5.7	5.7				0.8				0.1	0.0393700787401575																																					100					-4	-4							
00016063	clam chowder	https://static.openfoodfacts.org/images/products/00016063/front_en.5.400.jpg	1	c	3	276		1.64	0						0	0.008	9.02	0.82			0.8	4.1				1.24968	0.492		0					0.003														0		0.00118																			3	3							
00016940	Popcorn		0	c		2071		23.8	1.8								60.5	25.6			7.7	5.8				0.1	0.0393700787401575																																										7	7							
00018097	Salade Mac		0		1																																																																								
00018166	6 Ultimate Crumpets	https://static.openfoodfacts.org/images/products/00018166/front.3.400.jpg	3	b	4	385		0.6	0.1								33.1	1.5			1.9	5.9				1.23	0.484251968503937																																										2	2							
00018999	Porridge de Riz		0	a	3	1431		1.6	0.3								73	0.6			3.6	7				0.08	0.031496062992126																																										-3	-3							
00019101	Highland Shortbread - All Butter Fingers		0	e		2188		28.8	18.8								60.4	18.7				4.8				0.65	0.255905511811024																																										22	22							
00019170	Large flat mushrooms	https://static.openfoodfacts.org/images/products/00019170/front_en.4.400.jpg	0		1																																																																								
0002000003012	The glace saveur peche		0	c		59		0.5	0.1								3	3				0.5				0.01	0.00393700787401575																																										4	0							
0002000003289	Salade roma		5	b	4	858		9.5	2.4								22	2.9				6.9				0.64	0.251968503937008																																										2	2							
0002000003555	Ruby breakfast		0	e		192		0	0								9.7	9.7			0.7	0.8				0	0																																										14	2							
0002000008390	Acras de morue		2	d	4	1360		4	1.1								50.5	1.5			4.6	19.3				4.3	1.69291338582677																																										11	11							
0002000008536	Panettone		1	d	4	1527		13	8								55	25			2	3				0.370000000000001	0.145669291338583																																										15	15							
00020275	Merguez		0	e		1046		20.5	9.3								12	12				15.1				1.88	0.740157480314961																																										22	22							
0002042861915	Mehrkomponeneten Protein 90 C6 Vanille		0		4	1533		1									2.5					85.5																																																							
000227	Bijou Caramel ChocoLait		8	e	4	1807		20	5								57	37			1	5.3				0.7	0.275590551181102																																										19	19							
00023092	4 Indulgent & Chewy Maple Syrup & Pecan Giant Cookies		2	e	4	2030		26.8	7.6								54.2	29.4			1.9	6				0.370000000000001	0.145669291338583																																				12						19	19							
00024280	All Butter Cookies		3	e	4	2096		26.1	14.3								58.1	30.2			3.2	6.9				0.63	0.248031496062992																																										21	21							
00024655		https://static.openfoodfacts.org/images/products/00024655/front.3.400.jpg	0																																																																										
00024679	Yorkshire Gold		1		3																							4.5																																																	
00025157	Pizza Parlanno	https://static.openfoodfacts.org/images/products/00025157/front_en.6.400.jpg	0	d	4	1070	441	12	4.51						0	0.0226	25.6	3.76			0.752	9.77				1.22	0.481		9.02e-05					0.00271														0.113		0.000812																			12	12							
00025751	Honey roast ham	https://static.openfoodfacts.org/images/products/00025751/front_en.7.400.jpg	0	c	1	564		2	0.7								4.3	2.9			0.1	24.5				2	0.78740157480315																																										4	4							
00025942	Scottish Shortbreads		1	e	3	2192		29.2	18.2								58.1	14.8				5.4				0.6	0.236220472440945																																										21	21							
00027083	Made Without Wheat Blueberry Muffins		8	d	4	1515		19.9	2.5								42.3	21.3			1.2	2.8				0.8	0.31496062992126																																					15					12	12							
00027137	Chocolate Fudge Cake		8	e	4	1728		20	12.4								53.1	41.9			2	4.1				0.55	0.216535433070866																																										24	24							
00028097	All Butter Viennese Milk Chocolate Dipped Fingers		1	e	4	2205		29.7	18.2								58.6	27.8			1.8	5.4				0.7	0.275590551181102																																										24	24							
00028202	Cornish Cruncher Cheddar & Pickled Onion Hand Cooked		2	c	4	2054		26.5	3.2								53.7	2.5			6.3	6.2				1.18	0.464566929133858																																										9	9							
00028264	Gluten Free Melba Toasts With Apricots & Cashew Nuts		4	d	4	1657		11.1	1.3								63.7	15.1			4.2	8.3				1.71	0.673228346456693																																										11	11							
00028271	Scottish All Butter Toffee & Pecan Shortbread Rounds		1	d	4	2297		34.9	18.2								52	21.2			4.1	4.7				0.5	0.196850393700787																																					7					18	18							
00028653	Jersey Milk Chocolate		0																																																															35											
00029568	Liquorice Catherine Wheels		0	d		1343		1.1	0.3								72.2	46.8			2.8	4.2				0.2	0.078740157480315																																										12	12							
0002983542515	100% Soja Protein Neutral		0		1	1590		0.5									1.1					88.5																																																							
0003004032145	Chinois Nature Décongelé		12	e	4	1674		36	36								18	18				20				3	1.18110236220472																																										27	27							
00030045	Iced Tea Spanish Peach		2	e	4	130		0.1	0.1								7.6	7.6			0.1	0.2				0.03	0.0118110236220472																																					12					11	1							
00030113	Pressed Pineapple, Golden Berry & Ginger Juice		0	c	3	180		0.1	0.1								9.8	9.1			0.5	0.4				0.1	0.0393700787401575																																					98					3	-3							
00030182	Sweet chilli hand cooked	https://static.openfoodfacts.org/images/products/00030182/front_en.3.400.jpg	0	c		2163		3.2	3.2								52.8	2.2			4.6	6.1				1.3	0.511811023622047																																					45					9	9							
00030908	All Butter Summer Trifle Cookies	https://static.openfoodfacts.org/images/products/00030908/front_en.13.400.jpg	0	e		1986		21.5	10.1								62.5	30.5			3.2	5.9				1.02	0.401574803149606																																										22	22							
00031059	Ultimate English Muffins		0	c		1234			5.5									3			3.2	8.5				0.899999999999999	0.354330708661417																																										8	8							
00031394	Gâteau à la Carotte avec des Noix		5	d	4	1619		18	5.3								50.3	35			2.4	4.5				0.38	0.149606299212598																																					12					15	15							
00031858	Pur Soup' Velouté de légumes	https://static.openfoodfacts.org/images/products/00031858/front.6.400.jpg	1	c	4	188		2.1	0.7								5.3	2.4			0.8	0.8				0.75	0.295275590551181		0.00012																																		38						3	3							
00032582	Decorated hollow white chocolate Arendelle Castle	https://static.openfoodfacts.org/images/products/00032582/front_en.6.400.jpg	0																																																																										
00033046	British Beef Braising Steak	https://static.openfoodfacts.org/images/products/00033046/front_en.6.400.jpg	0	a	1	615		6.4	2.6								0	0			0	22.1				0.1778	0.07																																										-2	-2							
00033671	Cheddar		0	d		1715		34.4	21.7								0.1	0.1				25				1.68	0.661417322834646																																										17	22							
00035460	6 Breaded Jumbo Tiger Prawns		1	c	3	1054		13.3	2.4								22.5	1.2				10.5				0.83	0.326771653543307																																										3	3							
00036559	Mac 'n Cheese	https://static.openfoodfacts.org/images/products/00036559/front_en.5.400.jpg	1	c	4	761	275	7.58	4.04						0	0.0202	21.2	1.52			0.505	8.08				0.757	0.298		6.06e-05					0														0.101		0.000727																			4	4							
00040617	British Iceberg Lettuce	https://static.openfoodfacts.org/images/products/00040617/front_en.8.400.jpg	0		1																																																																								
00041500007007	Yellow Mustard	https://static.openfoodfacts.org/images/products/000/415/000/07007/front_en.10.400.jpg	0	b	3																																																																0	0							
00043366	Salade à la Mexicaine au Maïs doux, Poivrons, Riz et Avocat		0	b	3	586		5.2	0.7								18.8	3.2			2.8	3.1				0.55	0.216535433070866																																										0	0							
