code	country
0021130016631	united-states
0021130070275	united-states
0021130070664	united-states
0021130070992	united-states
0021130074471	united-states
0021130075003	united-states
0021130079278	united-states
0021130087921	united-states
0021130087945	united-states
0021130119356	united-states
0021130119387	united-states
0021130119394	united-states
0021130120178	united-states
0021130120536	united-states
0021130120604	united-states
0021130150991	united-states
0021130153138	united-states
0021130153503	united-states
0021130184330	united-states
0021130185214	united-states
0021130241989	united-states
0021130252626	united-states
0021130254316	united-states
0021130293483	france
0021130293483	united-states
0021130293599	united-states
0021130299515	united-states
0021130299591	united-states
0021130310081	united-states
0021130310098	united-states
0021130314119	united-states
0021130314300	united-states
0021130316168	united-states
0021130340903	united-states
0021130405176	france
0021130405176	united-states
0021130480715	united-states
0021130480814	united-states
0021130493623	united-states
0021130494729	united-states
0021130501212	united-states
0021130507092	united-states
0021130512881	united-states
0021140023612	united-states
0021140152213	united-states
0021140152244	united-states
0021140152251	united-states
0021140152527	united-states
0021140209801	united-states
0021200001741	germany
002121	france
0021248102196	united-states
0021285003340	united-states
00213158	france
00213158	united-kingdom
0021357020138	united-states
0021357913447	united-states
00213790	france
00213790	united-kingdom
00213844	france
00214036	united-states
00216135	france
00216135	united-kingdom
00216289	france
00216289	united-kingdom
0021723778885	france
0021785003529	france
0021908509372	united-states
0021908812427	united-states
0021908812663	united-states
0022000011879	united-states
0022000015693	hong-kong
0022000015969	france
0022000015969	united-states
0022000159335	france
0022000159335	united-states
0022000159359	france
0022000159359	united-states
00220347	france
00220347	united-kingdom
00220514	france
00220514	united-kingdom
0022135109649	united-kingdom
00221719	france
00221719	united-kingdom
0022198008194	united-states
0022224105217	united-states
00222535	france
0022314010018	france
0022314010025	france
0022314010032	france
0022314010049	france
0022314010056	france
0022314010094	germany
0022314010094	france
0022314010100	france
0022314010117	germany
0022314010117	france
0022314010117	canada
0022314010605	france
0022314014108	france
0022314015099	france
0022314015167	france
0022314015174	france
0022314015242	france
0022314015617	france
0022314015655	france
0022314018373	france
0022314020123	lebanon
0022314020123	france
0022314030221	france
0022314030238	france
0022314081490	france
0022314081568	france
0022314081575	france
0022314084842	france
0022314084873	france
00223812	france
0022422260008	united-states
0022451011008	united-states
0022506002357	united-states
0022506135635	united-states
0022652192063	united-states
0022652192070	united-states
0022652192087	united-states
0022652192094	united-states
0022652192117	united-states
0022652192148	united-states
0022652192186	united-states
00226646	united-kingdom
00226837	france
00226837	united-kingdom
00227773	france
00228169	mexico
0022929302089	france
0023000955606	united-states
0023035319626	united-states
0023100000220	france
00232302	france
00232302	united-kingdom
00232371	france
00232449	france
00232449	united-kingdom
00232456	france
00232456	united-kingdom
0023254117010	mexico
00232548	france
00232548	united-kingdom
00232746	france
0023300400561	united-states
00233040	france
00233040	united-kingdom
00233446	france
00233446	united-kingdom
00234474	france
0023547400539	united-states
00236188	united-kingdom
0023627190046	united-states
0023629249667	france
0023698100159	united-states
0023896138909	united-states
0023896166803	united-states
0023896287850	united-states
0023896287867	united-states
